Solar irradiance,Wind speed [m/s] ,OutTemp  
0,2.6,10.2
0,1.9,10.2
0,2.3,10.3
0,2.3,10.3
0,2.4,10.4
0,2.5,10.5
0,2.2,10.7
0,2.4,10.7
0,2,10.9
0,2.5,11
0,2.5,11.1
0,2.8,11.2
0,2.7,11.3
0,2.9,11.4
0,2.9,11.5
0,2.8,11.6
0,2.7,11.7
0,2.3,11.7
0,2.2,12
0,2.5,12.1
0,2.4,12.2
0,1.7,12.3
0,1.7,12.5
0,2,12.6
0,1.7,12.7
0,1.6,12.8
0.2,1.7,12.9
10.2,1.8,13.1
11.5,1.8,13.4
14.3,1.9,13.5
16,1.6,13.7
19,1.8,13.9
25.6,2,14.1
27.5,3.2,14.3
31.2,2.3,14.4
39.4,2.2,14.6
49.1,2.8,14.5
54.2,2.6,14.7
55,2.4,14.7
48.4,2.7,14.7
53.2,2.7,14.8
88.2,2.8,14.8
63.2,3.9,14.8
67.7,3.2,14.9
77.7,3.4,15
74.4,2.9,15.1
104.4,3.3,15.1
119.4,3.7,15.2
129.4,2.9,15.5
164.4,2.8,15.6
154.4,3.6,15.7
214.4,3.9,15.8
218.8,4,16
263.8,3.6,16.1
203.8,3.4,16
253.8,4.8,16.4
453.8,2.5,17.1
373.8,3.4,16.5
273.8,3.7,15.8
213.8,3.6,15.8
303.8,4.4,15.7
203.8,4.4,15.8
233.8,3.7,15.5
133.8,3.5,15.4
233.8,3.4,15.9
333.8,4.1,16
533.8,4.5,16
633.8,3.6,16.2
433.8,4.2,15.3
403.8,4.3,15.2
303.8,5.4,15.4
363.8,5,15.5
423.8,3.8,15.6
403.8,4.4,15.6
453.8,4.8,15.7
403.8,4.8,15.5
409.4,5.6,15.7
405.8,4.7,16.1
385.8,5.1,15.6
485.8,5.2,15.3
585.8,5.4,15.5
495.8,5.2,15.4
530.8,4.4,15.1
590.8,5.1,15
690.8,5.5,14.6
600.8,4.4,14.8
585.8,4.8,14.7
525.8,3.4,14.5
565.8,4.6,14.1
495.8,3.9,13.7
395.8,3.7,13.3
305.8,3.5,12.8
260.8,4,12.5
220.8,4.4,12.2
160.8,3.9,12.3
140.8,3.7,12.2
175.8,3.2,12.2
160.8,3.7,12
169,3.7,11.9
165,4.1,11.5
115,4,11.2
135,4,11
110,3.6,10.6
108.2,4.3,10.5
158.2,5.2,10.9
258.2,4.9,11
283.2,4.8,10.7
193.2,4.7,10.3
168.2,4.9,10.2
153.2,4.7,10.2
152.7,4.4,10.1
160,4.9,10.1
210,4.8,10.6
310,3.4,10.9
230,3.7,10.6
180,5,10.6
